angle_index,interface_angle_rad,interface_angle_pi,support_class,support_reason,nominal_incident_channel_count,nominal_matched_reflected_channel_count,nominal_matched_fraction,nominal_same_band_fraction,nominal_mismatch_mean,nominal_mismatch_p95,nominal_mismatch_max,tight_matched_fraction,loose_matched_fraction,matched_fraction_tolerance_span,mismatch_p95_tolerance_span,neighbor_mse_conductance_step,neighbor_max_abs_conductance_step,num_transport_channels,filtered_channel_fraction,mean_mismatch_penalty,zero_bias_conductance,dynamic_range
22,1.0799224746714913,0.34374999999999994,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.0811850391003104,0.14409452621253488,0.1472362464609471,0.14492753623188406,0.6231884057971014,0.4782608695652174,0.15668184346139824,0.01666688562582342,0.2504918765691051,28,0.0,0.6831410716285617,1.0283117284368752,0.5621464894175803
23,1.1290098598838318,0.359375,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.09151430069130886,0.14728017996250378,0.1491221157260073,0.10144927536231885,0.6086956521739131,0.5072463768115942,0.1818195037857704,0.002187359174643074,0.09164034730168935,28,0.0,0.5951012665219244,0.9950880643738828,0.4854581433041556
24,1.1780972450961724,0.375,caution,computable but fails at least one robust threshold,69,28,0.4057971014492754,1.0,0.08857844090960376,0.14699041819037242,0.14728886205483965,0.10144927536231885,0.6231884057971014,0.5217391304347826,0.17854974728680106,0.0008547162120245748,0.06013395120972276,28,0.0,0.5973898675249434,1.011502641802628,0.5301815048317214
25,1.227184630308513,0.390625,caution,computable but fails at least one robust threshold,69,26,0.37681159420289856,1.0,0.08428327678186034,0.14218310784438765,0.14709773679985058,0.10144927536231885,0.5,0.39855072463768115,0.2246714216349635,0.00427152643094081,0.1418037771752052,26,0.0,0.6529001542794455,1.0316413740891148,0.5818592554129898
26,1.2762720155208536,0.40625000000000006,unstable,fails at least one caution threshold,90,31,0.34444444444444444,1.0,0.07018864441665858,0.14019073328626142,0.149813917753095,0.14444444444444443,0.5,0.35555555555555557,0.1671460999335495,0.00427152643094081,0.1418037771752052,31,0.0,0.7251507034432433,0.9920436997661396,0.4510010914989263
27,1.325359400733194,0.421875,unstable,fails at least one caution threshold,90,31,0.34444444444444444,1.0,0.06740466358577718,0.12048978470446897,0.14119761734690847,0.14444444444444443,0.5444444444444444,0.39999999999999997,0.15001155604283536,0.012569102594767326,0.2434969915413161,31,0.0,0.7062487785659345,0.9719108346428452,0.4138165090843724
28,1.3744467859455345,0.4375,unstable,fails at least one caution threshold,91,29,0.31868131868131866,1.0,0.0602689037177177,0.11095179905979327,0.1179581575076977,0.23728813559322035,0.4098360655737705,0.17254792998055016,0.1815523524353363,0.012569102594767326,0.2434969915413161,29,0.0,0.7462320993150175,1.0613172160608972,0.6204373546018819
29,1.423534171157875,0.453125,unstable,fails at least one caution threshold,124,39,0.31451612903225806,1.0,0.051865137910607026,0.108512440290403,0.14212398386631916,0.19811320754716982,0.49193548387096775,0.2938222763237979,0.21846115683506517,0.011184758822546046,0.23411241195958632,39,0.0,0.7559215943689416,0.9878359232785214,0.4102110523031126
30,1.4726215563702154,0.46874999999999994,caution,computable but fails at least one robust threshold,126,52,0.4126984126984127,1.0,0.04736406454726142,0.11777516038600812,0.1359746561320891,0.25396825396825395,0.5714285714285714,0.31746031746031744,0.22584032126812445,0.0006335297538625492,0.07068029538518994,52,0.0,0.7278738895094383,1.0046959998811253,0.4002480060527617
31,1.521708941582556,0.484375,caution,computable but fails at least one robust threshold,128,70,0.546875,1.0,0.04081551804492589,0.13460451712904167,0.13783963636946758,0.375,0.828125,0.453125,0.22018648019694925,0.012196310880369125,0.21297941883294835,70,0.0,0.7808970626866893,1.0061254522288674,0.39110637253095726
32,1.5707963267948966,0.5,robust,meets all robust thresholds,131,131,1.0,1.0,3.353899736813359e-16,1.0780955469613357e-15,2.672220571188255e-15,1.0,1.0,0.0,0.0,0.012196310880369125,0.21297941883294835,131,0.0,1.0,0.9111986209456372,0.247659991506347
